GEOID10,COUNTYFP10,POP,WHITE,RRATIO,HS_POP,is_school,enrollment,borders,POS
420454051002,045,1077.0,88.0,0.08170844939647168,39.0,False,0,"['420454050001', '420454051001', '420454052001', '420454050002', '420454107002', '420454107005', '420454052003']","('+39.8449899', '-075.3744895')"
420454052003,045,1350.0,36.0,0.02666666666666667,49.0,False,0,"['420454051001', '420454052001', '420454107003', '420454052002', '420454053001', '420454107005', '420454051002']","('+39.8407444', '-075.3817785')"
420454064021,045,786.0,50.0,0.06361323155216285,28.0,False,0,"['420454052001', '420454052002', '420454064022']","('+39.8452759', '-075.3894712')"
420454044001,045,738.0,232.0,0.3143631436314363,27.0,False,0,"['420454074043', '420454045001', '420454044002', '420454041025', '420454041014', '420454108001']","('+39.8700955', '-075.3594633')"
420293002014,029,828.0,612.0,0.7391304347826086,43.0,False,0,"['420293002013', '420293002023', '420293001042', '420293001043', '420293001032']","('+40.0370426', '-075.4591858')"
420293001091,029,1127.0,990.0,0.878438331854481,58.0,False,0,"['420454098031', '420454098023', '420454098021', '420293001092', '420293001093', '420912059042', '420912059031']","('+40.0626077', '-075.3774139')"
420293001092,029,736.0,583.0,0.7921195652173914,38.0,False,0,"['420454098031', '420454098023', '420454098032', '420293001091', '420293001093', '420293001082']","('+40.0534827', '-075.3968943')"
420293001093,029,1700.0,1551.0,0.9123529411764706,87.0,False,0,"['420293001091', '420293001092', '420293001081', '420293001082', '420293001083', '420912058011', '420912059031']","('+40.0674002', '-075.4003548')"
420293001061,029,2118.0,1434.0,0.6770538243626062,109.0,False,0,"['420293001011', '420293001012', '420293001072', '420293001063']","('+40.0739110', '-075.4498264')"
420293001011,029,1259.0,1224.0,0.9722001588562351,65.0,False,0,"['420293001061', '420293001012', '420293001072', '420912058011']","('+40.0856465', '-075.4366540')"
420293002013,029,982.0,879.0,0.895112016293279,51.0,False,0,"['420293002014', '420293002023', '420293002021', '420293002011', '420293002012', '420293001042']","('+40.0387942', '-075.4420872')"
420293002023,029,2368.0,2004.0,0.8462837837837838,122.0,False,0,"['420293002014', '420293002013', '420293002021', '420293001043', '420293001032', '420293003021', '420293002022', '420293003011']","('+40.0253485', '-075.4567240')"
420293002021,029,1030.0,924.0,0.8970873786407767,53.0,False,0,"['420454098034', '420454098033', '420454099041', '420454098035', '420293002013', '420293002023', '420293002012', '420293001082', '420293002022']","('+40.0329618', '-075.4241770')"
420293001081,029,2010.0,1879.0,0.9348258706467661,103.0,False,0,"['420293001093', '420293002011', '420293001041', '420293001082', '420293001083']","('+40.0616141', '-075.4105822')"
420293002011,029,2350.0,2165.0,0.9212765957446809,121.0,False,0,"['420293002013', '420293001081', '420293002012', '420293001041', '420293001082', '420293001042']","('+40.0486534', '-075.4307932')"
420293002012,029,1116.0,949.0,0.850358422939068,57.0,False,0,"['420454098035', '420293002013', '420293002021', '420293002011', '420293001082']","('+40.0396763', '-075.4280239')"
420293001012,029,1809.0,1475.0,0.8153676064123825,93.0,False,0,"['420293001061', '420293001011', '420293001083', '420293001072', '420912058011']","('+40.0808934', '-075.4205797')"
420293001041,029,1643.0,1427.0,0.8685331710286062,85.0,False,0,"['420293001081', '420293002011', '420293001042', '420293001083', '420293001072']","('+40.0573846', '-075.4374119')"
420293001082,029,2811.0,1640.0,0.583422269654927,145.0,False,0,"['420454098032', '420454098035', '420293001092', '420293001093', '420293002021', '420293001081', '420293002011', '420293002012']","('+40.0484006', '-075.4112987')"
420293001042,029,1713.0,1490.0,0.8698190309398716,88.0,True,2062,"['420293002014', '420293002013', '420293002011', '420293001041', '420293001043', '420293001072']","('+40.0500503', '-075.4535372')"
420293001043,029,1759.0,1535.0,0.8726549175667994,90.0,False,0,"['420293002014', '420293002023', '420293001042', '420293001031', '420293001032', '420293001072']","('+40.0479603', '-075.4701478')"
420293001071,029,1210.0,1032.0,0.8528925619834711,62.0,False,0,"['420293021012', '420293021021', '420293001031', '420293003031', '420293001072', '420293020002']","('+40.0662744', '-075.5106768')"
420293001031,029,1937.0,1479.0,0.7635518843572535,100.0,False,0,"['420293001043', '420293001071', '420293001032', '420293003031', '420293001072']","('+40.0466393', '-075.4835273')"
420293001083,029,1361.0,1088.0,0.7994121969140338,70.0,False,0,"['420293001093', '420293001081', '420293001012', '420293001041', '420293001072', '420912058011', '420912059031']","('+40.0711503', '-075.4188656')"
420293001032,029,786.0,682.0,0.8676844783715013,40.0,False,0,"['420293002014', '420293002023', '420293001043', '420293001031', '420293003021', '420293003031', '420293003032']","('+40.0395593', '-075.4815156')"
420293002022,029,1929.0,1747.0,0.9056505961638155,99.0,False,0,"['420454099041', '420454099042', '420293002023', '420293002021', '420293003011']","('+40.0143459', '-075.4364342')"
420293001072,029,2906.0,2351.0,0.809015829318651,149.0,False,0,"['420293001061', '420293001011', '420293001012', '420293001041', '420293001042', '420293001043', '420293001071', '420293001031', '420293001083', '420293001062', '420293001063', '420293020002', '420912058011']","('+40.0661334', '-075.4774324')"
420293001062,029,1455.0,1067.0,0.7333333333333333,75.0,False,0,"['420293001072', '420293001063']","('+40.0757059', '-075.4692679')"
420293001063,029,1141.0,561.0,0.49167397020157755,59.0,False,0,"['420293001061', '420293001072', '420293001062']","('+40.0705122', '-075.4652322')"
420293004001,029,1239.0,1073.0,0.8660209846650525,49.0,False,0,"['420293004002', '420293021021', '420293003031']","('+40.0381036', '-075.5126342')"
420293021012,029,4125.0,2892.0,0.7010909090909091,162.0,True,1239,"['420293021011', '420293021021', '420293001071', '420293022043', '420293020002']","('+40.0598313', '-075.5527395')"
420293004002,029,2201.0,1891.0,0.8591549295774648,86.0,False,0,"['420293004001', '420293021021', '420293021022', '420293003021', '420293003031', '420293003032', '420293003022']","('+40.0282208', '-075.5151252')"
420293021011,029,2805.0,2059.0,0.7340463458110517,110.0,False,0,"['420293021012', '420293021021', '420293021023', '420293022041', '420293021022', '420293022043']","('+40.0423788', '-075.5545189')"
420293021021,029,936.0,789.0,0.842948717948718,37.0,False,0,"['420293004001', '420293021012', '420293004002', '420293021011', '420293001071', '420293021022', '420293003031']","('+40.0412255', '-075.5234861')"
420293021023,029,2263.0,1636.0,0.7229341581970835,89.0,False,0,"['420293028023', '420293021011', '420293022041', '420293028022', '420293021022', '420293022043']","('+40.0269110', '-075.5666830')"
420293020001,029,2014.0,1625.0,0.8068520357497517,79.0,False,0,['420293020002'],"('+40.1055037', '-075.5457854')"
420293021022,029,1286.0,1131.0,0.8794712286158631,50.0,False,0,"['420293028023', '420293004002', '420293021011', '420293021021', '420293021023', '420293028022', '420293003022']","('+40.0349030', '-075.5455179')"
420293003012,029,2734.0,2252.0,0.8237015362106803,107.0,False,0,"['420454100001', '420454100003', '420293028041', '420293028042', '420293029011', '420293003011']","('+39.9697759', '-075.4973386')"
420293003021,029,1406.0,1355.0,0.9637268847795164,55.0,False,0,"['420293002023', '420293004002', '420293001032', '420293003032', '420293003011', '420293003022']","('+40.0221863', '-075.4875595')"
420293003031,029,1475.0,1268.0,0.8596610169491525,58.0,False,0,"['420293004001', '420293004002', '420293021021', '420293001071', '420293001031', '420293001032', '420293003032']","('+40.0446930', '-075.5025272')"
420293003032,029,1666.0,1569.0,0.9417767106842737,65.0,False,0,"['420293004002', '420293001032', '420293003021', '420293003031']","('+40.0344497', '-075.4929298')"
420293003011,029,1259.0,1253.0,0.9952343129467831,49.0,False,0,"['420454099042', '420454100001', '420454100002', '420454100003', '420293028041', '420293028042', '420293002023', '420293003012', '420293003021', '420293002022', '420293003022']","('+39.9932170', '-075.4791312')"
420293020002,029,3799.0,2963.0,0.7799420900236904,149.0,False,0,"['420293021012', '420293001071', '420293020001', '420293022043', '420293001072']","('+40.0812569', '-075.5723885')"
420293003022,029,2355.0,2226.0,0.9452229299363057,92.0,False,0,"['420293028023', '420293028042', '420293004002', '420293021022', '420293003021', '420293003011']","('+40.0066082', '-075.5220749')"
420912058061,091,718.0,603.0,0.8398328690807799,189.0,False,0,"['420912059062', '420912057001', '420912057002', '420912057003', '420912058062']","('+40.1026664', '-075.3305975')"
420912059062,091,1578.0,1344.0,0.8517110266159695,415.0,False,0,"['420912058061', '420912042001', '420912042002', '420912059051', '420912059061', '420912058062']","('+40.0867532', '-075.3331879')"
420912042001,091,578.0,502.0,0.8685121107266436,152.0,False,0,"['420912059062', '420912048001', '420912048003', '420912049001', '420912042002', '420912059061']","('+40.0681671', '-075.3143992')"
420912058083,091,2176.0,1383.0,0.6355698529411765,573.0,False,0,"['420912058011', '420912058012', '420912058084', '420912058081', '420912058093', '420912058082']","('+40.1112585', '-075.3897204')"
420912058011,091,760.0,270.0,0.35526315789473684,200.0,True,8153,"['420293001093', '420293001011', '420293001012', '420293001083', '420293001072', '420912058083', '420912058012', '420912059052', '420912059031', '420912058071', '420912058082']","('+40.0995633', '-075.4424787')"
420912058012,091,2510.0,1640.0,0.6533864541832669,660.0,False,0,"['420912058083', '420912058011']","('+40.1050702', '-075.4142245')"
420912058092,091,759.0,618.0,0.8142292490118577,200.0,False,0,"['420912058091', '420912058081', '420912058093']","('+40.1091235', '-075.3704944')"
420912057001,091,408.0,192.0,0.47058823529411764,107.0,False,0,"['420912058061', '420912057002', '420912057004', '420912057003', '420912057005', '420912058093']","('+40.1073246', '-075.3389168')"
420912058052,091,921.0,587.0,0.6373507057546145,242.0,False,0,"['420912058051', '420912058053', '420912058071', '420912058082']","('+40.0948354', '-075.3770066')"
420912059041,091,1361.0,1135.0,0.8339456282145481,358.0,False,0,"['420454097011', '420454098021', '420912049004', '420912049001', '420912059042', '420912059061']","('+40.0615202', '-075.3444921')"
420912058051,091,1157.0,838.0,0.7242869490060502,304.0,False,0,"['420912058052', '420912058091', '420912057005', '420912058053', '420912058071', '420912058093', '420912058062']","('+40.0992916', '-075.3609845')"
420912059052,091,2552.0,1238.0,0.48510971786833856,671.0,False,0,"['420912058011', '420912059042', '420912059051', '420912059031', '420912058071', '420912058062']","('+40.0814401', '-075.3694928')"
420912057002,091,762.0,712.0,0.9343832020997376,200.0,False,0,"['420912058061', '420912057001', '420912057003', '420912058062']","('+40.1036821', '-075.3349782')"
420912058091,091,931.0,730.0,0.7841031149301826,245.0,False,0,"['420912058092', '420912058051', '420912058084', '420912058081', '420912058053', '420912058093', '420912058082']","('+40.1059522', '-075.3761027')"
420912059042,091,925.0,891.0,0.9632432432432433,243.0,False,0,"['420454098021', '420293001091', '420912059041', '420912059052', '420912059051', '420912059031', '420912059061']","('+40.0699166', '-075.3545482')"
420912057004,091,1125.0,886.0,0.7875555555555556,296.0,False,0,"['420912057001', '420912057003', '420912057005', '420912058062']","('+40.1014920', '-075.3447781')"
420912058084,091,694.0,624.0,0.899135446685879,183.0,False,0,"['420912058083', '420912058091', '420912058081', '420912058082']","('+40.1073731', '-075.3814944')"
420912042002,091,771.0,718.0,0.9312581063553826,203.0,False,0,"['420912059062', '420912042001', '420912059061']","('+40.0724957', '-075.3218167')"
420912059051,091,1145.0,846.0,0.7388646288209607,301.0,False,0,"['420912059062', '420912059052', '420912059042', '420912059031', '420912059061', '420912058071', '420912058062']","('+40.0812229', '-075.3520117')"
420912057003,091,1012.0,988.0,0.9762845849802372,266.0,False,0,"['420912058061', '420912057001', '420912057002', '420912057004', '420912058062']","('+40.1028637', '-075.3392654')"
420912057005,091,1271.0,1085.0,0.8536585365853658,334.0,False,0,"['420912057001', '420912058051', '420912057004', '420912058093', '420912058062']","('+40.1032098', '-075.3507568')"
420912058081,091,731.0,529.0,0.7236662106703147,192.0,False,0,"['420912058083', '420912058092', '420912058091', '420912058084', '420912058093']","('+40.1111572', '-075.3827231')"
420912059031,091,2758.0,2392.0,0.8672951414068165,726.0,False,0,"['420293001091', '420293001093', '420293001083', '420912058011', '420912059052', '420912059042', '420912059051']","('+40.0726889', '-075.3853927')"
420912059061,091,634.0,402.0,0.6340694006309149,167.0,False,0,"['420912059062', '420912042001', '420912059041', '420912049001', '420912059042', '420912042002', '420912059051']","('+40.0698290', '-075.3354326')"
420912058053,091,1103.0,777.0,0.7044424297370807,290.0,True,1142,"['420912058052', '420912058051', '420912058091', '420912058093', '420912058082']","('+40.0997163', '-075.3751697')"
